,Unnamed: 0,professor
0,0,Bong Ho Kim
1,1,Junhyong Kim 
2,2,Daniel E. Koditschek
3,3,Konrad Koering
4,4,Lingjie Liu
5,5,Adam David Mally
6,6,Andre Scedrov
7,7,Ryan Marcus
8,8,Linh Thi Xuan Phan
9,9,Rahul Mangharam
10,10,Tal Rabin
11,11,Vincent Liu
12,12,Jérémie O. Lumbroso
13,13,George J. Pappas
14,14,Qi Long
15,15,Nikolai Matni
16,16,Harvey Rubin
17,17,Mayur Naik
18,18,Joshua B. Plotkin
19,19,Dan Roth
20,20,Alejandro Ribeiro
21,21,Travis Q. McGaha
22,22,Mark L. Liberman
23,23,Robin Pemantle
24,24,Danaë Metaxa
25,25,Victor M. Preciado
26,26,Benjamin C. Pierce
27,27,Aaron Roth
28,28,Pratyush Mishra
29,29,Shirin Saeedi Bidokhti
30,30,Boon Thau Loo
31,31,Michael Posa
32,32,Surbi Goel
33,33,Jacob Gardner
34,34,Rajiv Gandhi
35,35,Eric Fouh
36,36,Gushu Li
37,37,Jing Li
38,38,Insup Lee
39,39,Benjamin Lee
40,40,Stephen Lane
41,41,Vijay Kumar
42,42,Nadia Figueroa
43,43,Joe Devietti
44,44,Pratik Chaudhari
45,45,Damon Centola
46,46,Chris Callison-Burch
47,47,Susan Davidson
48,48,Osbert Bastani
49,49,Yoseph Barash
50,50,Sharath Chandra Guntuku
51,51,Andreas Haeberlen
52,52,Daniel Hashimoto
53,53,Hamed Hassani
54,54,Andrew Head
55,55,Brett Hemenway 
56,56,Daniel J Hopkins
57,57,M. Ani Hsieh 
58,58,Zachary Ives
59,59,Sanjeev Khanna
60,60,Michael Kearns 
61,61,Dinesh Jayaraman
62,62,Kevin B. Johnson 
63,63,Yasmin Kafai 
64,64,Sampath K. Kannan 
65,65,Sebastian Angel
66,66,Rajeev Alur
67,67,Shivani Agarwal
68,68,James Gee
69,69,Jean Gallier
70,70,Thomas Farmer
71,71,Eric Eaton
72,72,Andre DeHon
73,73,Anindya De
74,74,Kostas Daniilidis
75,75,Ryan Baker
76,76,Justin Gottschlich
77,77,Norman I. Badler
78,78,Mingmin Zhao
79,79,Val B. Tannen
80,80,Mark Yatskar
81,81,Mark Yim
82,82,Li-San Wang
83,83,Christopher S. Yoo
84,84,Charles Yang
85,85,Camillo Taylor
86,86,Cynthia Sung
87,87,Duncan Watts
88,88,Eric Weingarten
89,89,Eric Wong
90,90,Harry Smith
91,91,Jianbo Shi
92,92,Jonathan Smith
93,93,Lyle Ungar
94,94,Oleg Sokolsky
95,95,Renee Vidal
96,96,Rakesh Vohra
97,97,Scott Weinstein
98,98,Stephanie Weirich
99,99,Steven Zdancemic
100,100,Swapneel Seth
101,101,Weijie Su
0,0,Bong Ho Kim
1,1,Junhyong Kim 
2,2,Daniel E. Koditschek
3,3,Konrad Koering
4,4,Lingjie Liu
5,5,Adam David Mally
6,6,Andre Scedrov
7,7,Ryan Marcus
8,8,Linh Thi Xuan Phan
9,9,Rahul Mangharam
10,10,Tal Rabin
11,11,Vincent Liu
12,12,Jérémie O. Lumbroso
13,13,George J. Pappas
14,14,Qi Long
15,15,Nikolai Matni
16,16,Harvey Rubin
17,17,Mayur Naik
18,18,Joshua B. Plotkin
19,19,Dan Roth
20,20,Alejandro Ribeiro
21,21,Travis Q. McGaha
22,22,Mark L. Liberman
23,23,Robin Pemantle
24,24,Danaë Metaxa
25,25,Victor M. Preciado
26,26,Benjamin C. Pierce
27,27,Aaron Roth
28,28,Pratyush Mishra
29,29,Shirin Saeedi Bidokhti
30,30,Boon Thau Loo
31,31,Michael Posa
32,32,Surbi Goel
33,33,Jacob Gardner
34,34,Rajiv Gandhi
35,35,Eric Fouh
36,36,Gushu Li
37,37,Jing Li
38,38,Insup Lee
39,39,Benjamin Lee
40,40,Stephen Lane
41,41,Vijay Kumar
42,42,Nadia Figueroa
43,43,Joe Devietti
44,44,Pratik Chaudhari
45,45,Damon Centola
46,46,Chris Callison-Burch
47,47,Susan Davidson
48,48,Osbert Bastani
49,49,Yoseph Barash
50,50,Sharath Chandra Guntuku
51,51,Andreas Haeberlen
52,52,Daniel Hashimoto
53,53,Hamed Hassani
54,54,Andrew Head
55,55,Brett Hemenway 
56,56,Daniel J Hopkins
57,57,M. Ani Hsieh 
58,58,Zachary Ives
59,59,Sanjeev Khanna
60,60,Michael Kearns 
61,61,Dinesh Jayaraman
62,62,Kevin B. Johnson 
63,63,Yasmin Kafai 
64,64,Sampath K. Kannan 
65,65,Sebastian Angel
66,66,Rajeev Alur
67,67,Shivani Agarwal
68,68,James Gee
69,69,Jean Gallier
70,70,Thomas Farmer
71,71,Eric Eaton
72,72,Andre DeHon
73,73,Anindya De
74,74,Kostas Daniilidis
75,75,Ryan Baker
76,76,Justin Gottschlich
77,77,Norman I. Badler
78,78,Mingmin Zhao
79,79,Val B. Tannen
80,80,Mark Yatskar
81,81,Mark Yim
82,82,Li-San Wang
83,83,Christopher S. Yoo
84,84,Charles Yang
85,85,Camillo Taylor
86,86,Cynthia Sung
87,87,Duncan Watts
88,88,Eric Weingarten
89,89,Eric Wong
90,90,Harry Smith
91,91,Jianbo Shi
92,92,Jonathan Smith
93,93,Lyle Ungar
94,94,Oleg Sokolsky
95,95,Renee Vidal
96,96,Rakesh Vohra
97,97,Scott Weinstein
98,98,Stephanie Weirich
99,99,Steven Zdancemic
100,100,Swapneel Seth
101,101,Weijie Su
0,0,Bong Ho Kim
1,0,Bong Ho Kim
2,0,Bong Ho Kim
3,0,Bong Ho Kim
4,0,Bong Ho Kim
5,0,Bong Ho Kim
6,0,Bong Ho Kim
7,0,Bong Ho Kim
8,0,Bong Ho Kim
9,0,Bong Ho Kim
10,1,Junhyong Kim 
11,1,Junhyong Kim 
12,1,Junhyong Kim 
13,1,Junhyong Kim 
14,1,Junhyong Kim 
15,1,Junhyong Kim 
16,1,Junhyong Kim 
17,1,Junhyong Kim 
18,1,Junhyong Kim 
19,1,Junhyong Kim 
20,1,Junhyong Kim 
21,1,Junhyong Kim 
22,1,Junhyong Kim 
23,1,Junhyong Kim 
24,1,Junhyong Kim 
25,1,Junhyong Kim 
26,1,Junhyong Kim 
27,1,Junhyong Kim 
28,1,Junhyong Kim 
29,1,Junhyong Kim 
30,1,Junhyong Kim 
31,1,Junhyong Kim 
32,1,Junhyong Kim 
33,1,Junhyong Kim 
34,1,Junhyong Kim 
35,1,Junhyong Kim 
36,1,Junhyong Kim 
37,1,Junhyong Kim 
38,1,Junhyong Kim 
39,1,Junhyong Kim 
40,1,Junhyong Kim 
41,1,Junhyong Kim 
42,1,Junhyong Kim 
43,1,Junhyong Kim 
44,1,Junhyong Kim 
45,1,Junhyong Kim 
46,1,Junhyong Kim 
47,1,Junhyong Kim 
48,1,Junhyong Kim 
